_key,_from,_to,predicate,rank,role,init,enable,access,usage,interface,level,order,terms.0,fields.0,label.ISO:639:3:eng,definition.ISO:639:3:eng,description.ISO:639:3:eng,note.ISO:639:3:eng,example.ISO:639:3:eng,domain,instance,category,keyword.0,keyword.1,info,schema,branches.0,branches.1,branches.2,branches.3,branches.4,branches.5,branches.6,branches.7,branches.8,branches.9,branches.10,branches.11,branches.12,branches.13,branches.14,branches.15
XXX,descriptors/instances,,terms/:predicate:field-of,,,,,,,:state:interface:field:out,,70,,,,This list indicates all the contexts in which the descriptor was used.,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/category,,terms/:predicate:field-of,,,,,,:state:usage:optional,:state:interface:field:in:out,,71,,,,Descriptor category.,The category is a classification below the domain.,The category can be used to focus descriptor searches within a domain.,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/info,,terms/:predicate:field-of,,,,,,:state:usage:suggested,:state:interface:field:in:out,,73,,,,Provide relevant internet addresses where additional information and references for the descriptor can be found.,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/cstamp,,terms/:predicate:field-of,,,,,,,:state:interface:field:out,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/mstamp,,terms/:predicate:field-of,,,,,,,:state:interface:field:out,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/tdate,,terms/:predicate:field-of,,,,,,,:state:interface:field:out,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/length,,terms/:predicate:field-of,,,,,,:state:usage:optional,:state:interface:field:in:out,,37,,,,,Provide the allowed minimum and maximum length of the text.,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/regex,,terms/:predicate:field-of,,,,,,:state:usage:optional,:state:interface:field:in:out,,38,,,,,Provide a regular expression that can be used to validate the text.,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/unit,,terms/:predicate:field-of,,,,,,:state:usage:optional,:state:interface:field:in:out,,44,,,,,Provide the unit that applies to values defined by the current descriptor.,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/units,,terms/:predicate:field-of,,,,,,:state:usage:optional,:state:interface:field:in:out,,45,,,,,Provide all units other than the descriptor unit in which values defined by the current descriptor could be expressed in.,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:input,terms/:kind:form,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:instance,terms/:kind:form:input,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:type:form:full,terms/:kind:form:instance,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,terms/:type:form:full,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:input,terms/:kind:form,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:instance,terms/:kind:form:input,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:type:form:full,terms/:kind:form:instance,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,terms/:type:form:full,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:input,terms/:kind:form,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:instance,terms/:kind:form:input,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:type:form:full,terms/:kind:form:instance,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,terms/:type:form:full,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:input,terms/:kind:form,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:instance,terms/:kind:form:input,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:type:form:full,terms/:kind:form:instance,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,terms/:type:form:full,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:input,terms/:kind:form,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:instance,terms/:kind:form:input,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:type:form:full,terms/:kind:form:instance,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,terms/:type:form:full,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/schema,,terms/:predicate:field-of,,,,,,:state:usage:optional,:state:interface:field:in:out,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:input,terms/:kind:form,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:instance,terms/:kind:form:input,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:type:form:full,terms/:kind:form:instance,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,terms/:type:form:full,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/length,,terms/:predicate:field-of,,,,,,:state:usage:optional,:state:interface:field:in:out,,37,,,,,Provide the allowed minimum and maximum length of the hexadecimal string.,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/range,,terms/:predicate:field-of,,,,,,:state:usage:optional,:state:interface:field:in:out,,40,,,,,"If the hexadecimal string represents a quantitative value, provide the minimum and maximum range if relevant, ",,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:input,terms/:kind:form,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:instance,terms/:kind:form:input,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:type:form:full,terms/:kind:form:instance,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,terms/:type:form:full,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/range,,terms/:predicate:field-of,,,,,,:state:usage:optional,:state:interface:field:in:out,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:input,terms/:kind:form,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:instance,terms/:kind:form:input,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:type:form:full,terms/:kind:form:instance,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,terms/:type:form:full,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/range,,terms/:predicate:field-of,,,,,,:state:usage:suggested,:state:interface:field:in:out,,40,,,,,Provide the allowed minimum and maximum bounds of the numeric value.,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:input,terms/:kind:form,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:instance,terms/:kind:form:input,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:type:form:full,terms/:kind:form:instance,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,terms/:type:form:full,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/range,,terms/:predicate:field-of,,,,,,:state:usage:suggested,:state:interface:field:in:out,,40,,,,,Provide the allowed minimum and maximum bounds of the floating point value.,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/decimals,,terms/:predicate:field-of,,,,,,:state:usage:optional,:state:interface:field:in:out,,41,,,,,Provide the maximum number of decimal digits the value should take; values will be rounded <em> before being stored</em>.,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:input,terms/:kind:form,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:instance,terms/:kind:form:input,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:type:form:full,terms/:kind:form:instance,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,terms/:type:form:full,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:input,terms/:kind:form,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:instance,terms/:kind:form:input,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:type:form:full,terms/:kind:form:instance,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,terms/:type:form:full,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:input,terms/:kind:form,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:instance,terms/:kind:form:input,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:type:form:full,terms/:kind:form:instance,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,terms/:type:form:full,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/terms,,terms/:predicate:field-of,,,,,,:state:usage:suggested,:state:interface:field:in:out,,42,,,Controlled vocabulary,List of term enumerations.,"Provide the list of enumerated value definitions that apply to the current descriptor: if you provide this information, values associated with the current descriptor will have to be selected among the elements of the controlled vocabularies; if you omit this information, the descriptor value may be any term reference.",,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:input,terms/:kind:form,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:instance,terms/:kind:form:input,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:type:form:full,terms/:kind:form:instance,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,terms/:type:form:full,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/fields,,terms/:predicate:field-of,,,,,,:state:usage:suggested,:state:interface:field:in:out,,43,,,Controlled vocabulary,List of descriptor enumerations.,"Provide the list of enumerated value definitions that apply to the current descriptor: if you provide this information, values associated with the current descriptor will have to be selected among the elements of the controlled vocabularies; if you omit this information, the descriptor value may be any descriptor reference.",,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:input,terms/:kind:form,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:instance,terms/:kind:form:input,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:type:form:full,terms/:kind:form:instance,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,terms/:type:form:full,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/schema,,terms/:predicate:field-of,,,,,,:state:usage:optional,:state:interface:field:in:out,,74,,,Schema,Structure schema definition.,"Provide the internet address of the structure schema, if available.",,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:input,terms/:kind:form,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:instance,terms/:kind:form:input,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:type:form:full,terms/:kind:form:instance,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,terms/:type:form:full,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/terms,,terms/:predicate:field-of,,,,,,:state:usage:required,:state:interface:field:in:out,,42,,,Controlled vocabulary,List of term enumerations.,Provide the list of enumerated value definitions that apply to the key field of the mapped structure.,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:input,terms/:kind:form,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:kind:form:instance,terms/:kind:form:input,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,terms/:type:form:full,terms/:kind:form:instance,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,terms/:type:form:full,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,terms/:predicate:form-of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX,descriptors/terms,,terms/:predicate:field-of,,,,,,:state:usage:required,:state:interface:field:in:out,,42,,,Controlled vocabulary,List of term enumerations.,Provide the list of enumerated value definitions that apply to the key field of the mapped structure.,,,,,,,,,,,,,,,,,,,,,,,,,
